Dates,Target,Actual
18/12/2023,0,0
25/12/2023,12,63
01/01/2024,24,63
08/01/2024,36,63
15/01/2024,48,63
22/01/2024,60,63
29/01/2024,72,63
05/02/2024,84,63
12/02/2024,96,63
19/02/2024,108,63
26/02/2024,120,63
04/03/2024,132,63
11/03/2024,144,63
18/03/2024,156,63
25/03/2024,168,63
01/04/2024,180,114
08/04/2024,192,125
15/04/2024,204,168
22/04/2024,216,199
29/04/2024,228,220
06/05/2024,240,227
13/05/2024,252,
20/05/2024,264,
27/05/2024,276,
03/06/2024,288,
10/06/2024,300,
17/06/2024,305,
24/06/2024,309,
