Dates,Target,Actual
18/12/2023,1,0
25/12/2023,2,0
01/01/2024,3,0
08/01/2024,4,0
15/01/2024,5,0
22/01/2024,6,0
29/01/2024,7,0
05/02/2024,8,0
12/02/2024,9,0
19/02/2024,10,0
26/02/2024,11,0
04/03/2024,12,0
11/03/2024,13,0
18/03/2024,14,0
25/03/2024,15,0
01/04/2024,16,0
08/04/2024,17,0
15/04/2024,18,0
22/04/2024,19,0
29/04/2024,20,0
08/04/2024,17,0
15/04/2024,18,0
22/04/2024,19,0
29/04/2024,20,0
06/05/2024,21,1
13/05/2024,22,
20/05/2024,23,
27/05/2024,24,
03/06/2024,25,
10/06/2024,26,
17/06/2024,26,
24/06/2024,27,
