Dates,Target,Actual
18/12/2023,0,0
25/12/2023,12,101
01/01/2024,24,101
08/01/2024,36,101
15/01/2024,48,101
22/01/2024,60,101
29/01/2024,72,101
05/02/2024,84,101
12/02/2024,96,101
19/02/2024,108,101
26/02/2024,120,101
04/03/2024,132,101
11/03/2024,144,101
18/03/2024,156,101
25/03/2024,168,101
01/04/2024,180,225
08/04/2024,192,
15/04/2024,204,
22/04/2024,216,
29/04/2024,228,
06/05/2024,240,
13/05/2024,252,
20/05/2024,264,
27/05/2024,276,
03/06/2024,288,
10/06/2024,300,
17/06/2024,305,
24/06/2024,309,
